sentence,label
Can you take out the trash?,instruction
You must feed the cat.,instruction
She was about to update your password.,not instruction
Remember to pick up your package.,instruction
Never take out the trash.,instruction
Remember to submit the report.,instruction
feed the cat sounds like fun.,not instruction
Try to open the window.,instruction
write your name at your earliest convenience.,instruction
"Please, clean your room now.",instruction
They have finished lock the door.,not instruction
I like to open the window.,not instruction
Never wash your hands.,instruction
check the mailbox at your earliest convenience.,instruction
They decided to read the instructions.,not instruction
He thinks about read the instructions.,not instruction
Please take out the trash.,instruction
He wants to start the meeting.,not instruction
He thinks about draw a picture.,not instruction
They have finished write a summary.,not instruction
Never pay the bill.,instruction
They plan to draw a picture.,not instruction
Can you pay the bill?,instruction
Take time to submit the report.,instruction
turn off the lights sounds like fun.,not instruction
It's possible to call your mom.,not instruction
lock the door at your earliest convenience.,instruction
Maybe he will read the instructions someday.,not instruction
I often lock the door.,not instruction
You must take out the trash.,instruction
You must read the instructions.,instruction
Never send the email.,instruction
"lock the door, please.",instruction
I like to submit the report.,not instruction
Can you check the mailbox?,instruction
Never turn off the lights.,instruction
Never pay the bill.,instruction
They plan to pay the bill.,not instruction
"pick up your package, please.",instruction
I like to draw a picture.,not instruction
I often open the window.,not instruction
Can you clean your room?,instruction
I will probably turn off the lights.,not instruction
He is going to submit the report.,not instruction
I will probably complete your homework.,not instruction
They have finished feed the cat.,not instruction
Maybe he will open the window someday.,not instruction
You must write a summary.,instruction
It's possible to wash your hands.,not instruction
take out the trash at your earliest convenience.,instruction
Always pick up your package.,instruction
They decided to write your name.,not instruction
Make sure you wash your hands.,instruction
read the instructions sounds like fun.,not instruction
They plan to open the window.,not instruction
Never update your password.,instruction
It seems nice to write your name.,not instruction
Always call your mom.,instruction
Please take out the trash.,instruction
Please draw a picture.,instruction
feed the cat sounds like fun.,not instruction
They plan to submit the report.,not instruction
She loves to write your name.,not instruction
They decided to submit the report.,not instruction
Don't forget to draw a picture.,instruction
Maybe he will pay the bill someday.,not instruction
I often clean your room.,not instruction
Take time to lock the door.,instruction
You must take out the trash.,instruction
Try to clean your room.,instruction
Always call your mom.,instruction
"Please, take out the trash now.",instruction
